N,peak_sidelobe_pct,total_ringing_energy_pct,settling_us,worst_passband_error_db,worst_stopband_level_db,group_delay_samples,group_delay_us
19,14.411857651762212,2.4649741768939784,41.666666666666664,0.0008687041205826351,-100.29218035603171,9,46.875
23,12.781151816097335,3.3143413269472357,57.291666666666664,0.0008694177055190277,-100.29933592302284,11,57.291666666666664
27,5.913349739087936,1.5614373246094317,62.5,0.0008692453809530211,-100.24350883723345,13,67.70833333333333
31,5.600799554554501,1.642841148061854,78.125,0.00086901316385651,-100.29898386538918,15,78.125
37,4.220202249385466,1.3543732152126238,83.33333333333333,0.000868820652772622,-100.23717913749506,18,93.75
45,3.7103236124628656,1.1682634224133637,104.16666666666667,0.0008691395362219701,-100.23704091796944,22,114.58333333333333
47,3.385205320822976,1.1816222521795372,119.79166666666666,0.0008688450694622719,-100.2482477505985,23,119.79166666666666
51,3.0289060357493796,1.1069806748348054,125.0,0.0008692071992059482,-100.21469954541385,25,130.20833333333334
57,2.647382302286487,1.0512848702223367,140.625,0.0008695497883878068,-100.26377379326692,28,145.83333333333334
61,2.586087622382269,1.0682745673094984,145.83333333333334,0.0008692327194279267,-100.21673637160441,30,156.25
65,2.4811351865341593,1.0566887653181465,161.45833333333334,0.0008688116524108557,-100.25667951776413,32,166.66666666666666
67,2.018107259871387,0.8667787732895131,171.875,0.0008689803286998616,-100.2325973718028,33,171.875
77,1.9548204540555465,0.8892864280721096,192.70833333333334,0.0008697804178078589,-100.25661778689394,38,197.91666666666666
97,1.6569428418247434,0.8006279466084938,239.58333333333331,0.0008699861339063696,-100.2698843553344,48,250.0
105,1.6425448748894613,0.8966751537094347,260.4166666666667,0.0008696680680691408,-100.24804828935382,52,270.8333333333333
121,1.4689566025492895,0.9654541596696574,307.29166666666663,0.0008701525101194039,-100.21860842378695,60,312.5
