N,peak_sidelobe_pct,total_ringing_energy_pct,settling_us,worst_passband_error_db,worst_stopband_level_db,group_delay_samples,group_delay_us
19,14.411857651762212,2.4649741768939784,41.666666666666664,0.0008687041205826351,-100.29218035603171,9,46.875
21,14.81261916392525,2.678866925634106,41.666666666666664,0.0008688723895439826,-100.21817993288207,10,52.083333333333336
23,12.781151816097335,3.3143413269472357,57.291666666666664,0.0008694177055190277,-100.29933592302284,11,57.291666666666664
25,7.842563973873778,1.729798995416747,62.5,0.0008687847792403881,-100.298295293603,12,62.5
27,5.913349739087936,1.5614373246094317,62.5,0.0008692453809530211,-100.24350883723345,13,67.70833333333333
29,6.029492857673495,1.614787774414635,62.5,0.0008689460063941917,-100.25242484924404,14,72.91666666666667
31,5.600799554554501,1.642841148061854,78.125,0.00086901316385651,-100.29898386538918,15,78.125
33,4.751822963807592,1.377800120685406,83.33333333333333,0.0008692670471244431,-100.26687250982118,16,83.33333333333333
35,4.516845537685129,1.4343809027921295,83.33333333333333,0.0008689964316390216,-100.28528145039674,17,88.54166666666667
37,4.220202249385466,1.3543732152126238,83.33333333333333,0.000868820652772622,-100.23717913749506,18,93.75
39,4.230457248331698,1.385850835139662,98.95833333333333,0.0008690998718535895,-100.2238084053674,19,98.95833333333333
41,3.722230796343153,1.2825945650189414,104.16666666666667,0.0008699311876297027,-100.27206879011621,20,104.16666666666667
43,3.7104402165273616,1.2771778026427663,104.16666666666667,0.0008696908009623857,-100.27250340177075,21,109.375
45,3.7103236124628656,1.1682634224133637,104.16666666666667,0.0008691395362219701,-100.23704091796944,22,114.58333333333333
47,3.385205320822976,1.1816222521795372,119.79166666666666,0.0008688450694622719,-100.2482477505985,23,119.79166666666666
49,3.0894520515434647,1.1354914062194466,125.0,0.0008692256643177132,-100.26244820873646,24,125.0
51,3.0289060357493796,1.1069806748348054,125.0,0.0008692071992059482,-100.21469954541385,25,130.20833333333334
53,3.0366422445831334,1.116254337841202,125.0,0.0008694508265125719,-100.21688575818133,26,135.41666666666666
55,2.7363177852007223,1.0286792293581208,140.625,0.0008689732452989056,-100.2501259637039,27,140.625
57,2.647382302286487,1.0512848702223367,140.625,0.0008695497883878068,-100.26377379326692,28,145.83333333333334
59,2.6047747225240028,1.0306492674237764,145.83333333333334,0.000868989910103193,-100.25712162465518,29,151.04166666666669
61,2.586087622382269,1.0682745673094984,145.83333333333334,0.0008692327194279267,-100.21673637160441,30,156.25
63,2.49319605329768,1.0291451196220933,161.45833333333334,0.0008697915372665954,-100.2477744535768,31,161.45833333333334
65,2.4811351865341593,1.0566887653181465,161.45833333333334,0.0008688116524108557,-100.25667951776413,32,166.66666666666666
67,2.018107259871387,0.8667787732895131,171.875,0.0008689803286998616,-100.2325973718028,33,171.875
69,2.030502958899282,0.879213289134924,171.875,0.0008690269482327695,-100.24015783486922,34,177.08333333333334
71,2.3748681105603375,1.073515999336726,182.29166666666669,0.0008692379594678346,-100.26003337504109,35,182.29166666666669
73,2.3864134449162986,1.0811420831885774,182.29166666666669,0.0008693294138586989,-100.2558960656181,36,187.5
75,2.3580081783753672,1.0963531969533258,192.70833333333334,0.0008698320642192819,-100.23449833465534,37,192.70833333333334
77,1.9548204540555465,0.8892864280721096,192.70833333333334,0.0008697804178078589,-100.25661778689394,38,197.91666666666666
79,2.304838774305995,1.137942712092024,192.70833333333334,0.0008693354408807132,-100.210363561021,39,203.125
81,2.301365687923205,1.057050802727107,197.91666666666666,0.0008691222921349959,-100.24684401394367,40,208.33333333333334
83,2.2834829243021395,1.1948453412070592,213.54166666666669,0.0008691269359061038,-100.23494742844977,41,213.54166666666669
85,2.2308097703695005,1.1289420415355762,213.54166666666669,0.0008699114294510994,-100.22688835081355,42,218.75
87,1.9659607824254468,1.0391340068872705,213.54166666666669,0.0008695773631631155,-100.26725798217112,43,223.95833333333334
89,2.22251450448076,1.2297662849360074,218.75,0.0008700214620415147,-100.2342359265374,44,229.16666666666666
91,2.171640931633283,1.2050671605726864,234.375,0.0008696768527566332,-100.21287581502921,45,234.375
93,2.142551858464633,1.1531688343370112,234.375,0.0008692066893398958,-100.25522127122429,46,239.58333333333331
95,1.8006049810772553,0.9216350255755791,239.58333333333331,0.0008698852413103026,-100.21793478532629,47,244.79166666666666
97,1.6569428418247434,0.8006279466084938,239.58333333333331,0.0008699861339063696,-100.2698843553344,48,250.0
99,2.0488817381333293,1.1839599641128629,255.20833333333331,0.0008692419096752607,-100.25408034929512,49,255.20833333333331
101,1.9976416674210222,1.137077896531452,255.20833333333331,0.000869857578306916,-100.23981710263335,50,260.4166666666667
103,1.7020861984224591,0.9449534067628196,260.4166666666667,0.0008696754147662814,-100.21112599999472,51,265.625
105,1.6425448748894613,0.8966751537094347,260.4166666666667,0.0008696680680691408,-100.24804828935382,52,270.8333333333333
107,1.9053146297718042,1.218294367615205,276.0416666666667,0.0008696423055429962,-100.22493823958578,53,276.0416666666667
