sampleRateHz,attenuationDb,M,tapCount,feasible,worstStopbandDb,rPeakPercent,settlingSampleSpan,settlingMs,taps
44100,0.05,29,59,1,-94.9994,8.46501,58,1.31519,0.00231912;-0.00178563;0.0021189;-0.00222382;0.00195764;-0.00123777;5.0334e-05;0.00157633;-0.00356483;0.00576179;-0.0079364;0.00981059;-0.0110899;0.0114789;-0.010705;0.00857089;-0.00500424;3.97184e-05;0.0062744;-0.0140155;0.0225049;-0.0316263;0.0410348;-0.0502425;0.0588295;-0.0664494;0.0727772;-0.0775146;0.0804379;0.915706;0.0804379;-0.0775146;0.0727772;-0.0664494;0.0588295;-0.0502425;0.0410348;-0.0316263;0.0225049;-0.0140155;0.0062744;3.97184e-05;-0.00500424;0.00857089;-0.010705;0.0114789;-0.0110899;0.00981059;-0.0079364;0.00576179;-0.00356483;0.00157633;5.0334e-05;-0.00123777;0.00195764;-0.00222382;0.0021189;-0.00178563;0.00231912
44100,0.05,30,61,1,-94.9979,11.535,60,1.36054,0.00191585;-0.00184353;0.00150375;-0.00189969;0.000963671;-0.000168599;-0.00113955;0.00261753;-0.00401921;0.00547355;-0.00567085;0.00539496;-0.00338378;0.000982456;0.00308538;-0.00710059;0.0116172;-0.0144986;0.0161472;-0.0149194;0.0108414;-0.00293087;-0.00835953;0.022838;-0.0395225;0.0568699;-0.0742986;0.0896298;-0.102058;0.109551;0.884764;0.109551;-0.102058;0.0896298;-0.0742986;0.0568699;-0.0395225;0.022838;-0.00835953;-0.00293087;0.0108414;-0.0149194;0.0161472;-0.0144986;0.0116172;-0.00710059;0.00308538;0.000982456;-0.00338378;0.00539496;-0.00567085;0.00547355;-0.00401921;0.00261753;-0.00113955;-0.000168599;0.000963671;-0.00189969;0.00150375;-0.00184353;0.00191585
44100,0.05,31,63,0,-94.4385,12.8006,60,1.36054,0.000212144;0.00128874;-0.00113091;0.000258033;0.000152747;-0.000580722;0.00227016;-0.00302378;0.00494723;-0.00590394;0.00659986;-0.00639118;0.00461607;-0.00190299;-0.00250059;0.00770891;-0.0132432;0.0186385;-0.0223515;0.0241108;-0.0225683;0.0173181;-0.00824153;-0.00516385;0.021449;-0.0407727;0.0607613;-0.0805153;0.0980318;-0.11181;0.121;0.873473;0.121;-0.11181;0.0980318;-0.0805153;0.0607613;-0.0407727;0.021449;-0.00516385;-0.00824153;0.0173181;-0.0225683;0.0241108;-0.0223515;0.0186385;-0.0132432;0.00770891;-0.00250059;-0.00190299;0.00461607;-0.00639118;0.00659986;-0.00590394;0.00494723;-0.00302378;0.00227016;-0.000580722;0.000152747;0.000258033;-0.00113091;0.00128874;0.000212144
44100,0.05,32,65,1,-94.9989,16.2844,64,1.45125,0.00235333;-0.00262533;0.0032432;-0.00352597;0.00323206;-0.00239579;-4.50456e-05;0.00283965;-0.00654826;0.0107116;-0.0143905;0.0168433;-0.0180235;0.0164288;-0.0121506;0.00534803;0.00409578;-0.0151561;0.0262407;-0.0361535;0.0432594;-0.0454732;0.0422675;-0.0324643;0.01595;0.00643178;-0.0328074;0.0620762;-0.0906686;0.116545;-0.137166;0.15057;0.842316;0.15057;-0.137166;0.116545;-0.0906686;0.0620762;-0.0328074;0.00643178;0.01595;-0.0324643;0.0422675;-0.0454732;0.0432594;-0.0361535;0.0262407;-0.0151561;0.00409578;0.00534803;-0.0121506;0.0164288;-0.0180235;0.0168433;-0.0143905;0.0107116;-0.00654826;0.00283965;-4.50456e-05;-0.00239579;0.00323206;-0.00352597;0.0032432;-0.00262533;0.00235333
44100,0.05,33,67,0,-94.1943,10.024,66,1.4966,0.00182772;-0.000583448;0.000500848;-0.000316263;3.82621e-05;0.000272347;-0.000551229;0.000731128;-0.000777168;0.000684901;-0.000506712;0.000333228;-0.000297256;0.000530956;-0.00114913;0.00219475;-0.00362351;0.00526517;-0.00683721;0.00794476;-0.00813883;0.00697961;-0.00397911;-0.00140479;0.00894201;-0.0187734;0.030501;-0.0435031;0.0569447;-0.0698637;0.0812496;-0.0901484;0.0958513;0.899322;0.0958513;-0.0901484;0.0812496;-0.0698637;0.0569447;-0.0435031;0.030501;-0.0187734;0.00894201;-0.00140479;-0.00397911;0.00697961;-0.00813883;0.00794476;-0.00683721;0.00526517;-0.00362351;0.00219475;-0.00114913;0.000530956;-0.000297256;0.000333228;-0.000506712;0.000684901;-0.000777168;0.000731128;-0.000551229;0.000272347;3.82621e-05;-0.000316263;0.000500848;-0.000583448;0.00182772
44100,0.05,34,69,0,0,1e+300,0,0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
44100,0.05,35,71,1,-94.9998,35.5611,70,1.5873,-0.0026648;0.0042798;-0.00624036;0.0093954;-0.0115068;0.0131658;-0.0122572;0.00936599;-0.00336446;-0.00518525;0.0165948;-0.0292467;0.0427066;-0.0542605;0.06229;-0.0641786;0.0589637;-0.0448919;0.0229871;0.00629784;-0.0402157;0.0757332;-0.108311;0.134031;-0.148366;0.148025;-0.131318;0.0979941;-0.0497014;-0.00991667;0.0760144;-0.142377;0.202669;-0.250654;0.281716;0.704854;0.281716;-0.250654;0.202669;-0.142377;0.0760144;-0.00991667;-0.0497014;0.0979941;-0.131318;0.148025;-0.148366;0.134031;-0.108311;0.0757332;-0.0402157;0.00629784;0.0229871;-0.0448919;0.0589637;-0.0641786;0.06229;-0.0542605;0.0427066;-0.0292467;0.0165948;-0.00518525;-0.00336446;0.00936599;-0.0122572;0.0131658;-0.0115068;0.0093954;-0.00624036;0.0042798;-0.0026648
44100,0.05,36,73,1,-94.9478,44.0731,72,1.63265,0.00289447;-0.00517059;0.00736235;-0.011052;0.0135052;-0.0157798;0.0157016;-0.0134159;0.00770825;0.00148192;-0.0139058;0.0291034;-0.0451204;0.060735;-0.0727889;0.0798238;-0.0786549;0.0686605;-0.0481147;0.0184683;0.019357;-0.0612945;0.104016;-0.142015;0.170945;-0.185502;0.182875;-0.160787;0.119538;-0.061332;-0.00962053;0.0872816;-0.164738;0.234674;-0.290299;0.326122;0.658675;0.326122;-0.290299;0.234674;-0.164738;0.0872816;-0.00962053;-0.061332;0.119538;-0.160787;0.182875;-0.185502;0.170945;-0.142015;0.104016;-0.0612945;0.019357;0.0184683;-0.0481147;0.0686605;-0.0786549;0.0798238;-0.0727889;0.060735;-0.0451204;0.0291034;-0.0139058;0.00148192;0.00770825;-0.0134159;0.0157016;-0.0157798;0.0135052;-0.011052;0.00736235;-0.00517059;0.00289447
44100,0.05,37,75,1,-94.9995,88.236,74,1.678,-0.0011153;0.00523214;-0.00770598;0.0125553;-0.0174027;0.0219985;-0.0250528;0.0253283;-0.0215001;0.0125286;0.00216178;-0.0223029;0.0467999;-0.0734096;0.0990682;-0.119993;0.132174;-0.131953;0.116487;-0.0843996;0.0362762;0.0251851;-0.0950703;0.166571;-0.231767;0.282467;-0.311111;0.31165;-0.280767;0.218561;-0.128332;0.0167666;0.106342;-0.229945;0.341872;-0.431155;0.488639;0.488639;0.488639;-0.431155;0.341872;-0.229945;0.106342;0.0167666;-0.128332;0.218561;-0.280767;0.31165;-0.311111;0.282467;-0.231767;0.166571;-0.0950703;0.0251851;0.0362762;-0.0843996;0.116487;-0.131953;0.132174;-0.119993;0.0990682;-0.0734096;0.0467999;-0.0223029;0.00216178;0.0125286;-0.0215001;0.0253283;-0.0250528;0.0219985;-0.0174027;0.0125553;-0.00770598;0.00523214;-0.0011153
44100,0.05,38,77,0,674.481,100,76,1.72336,-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;2.8119e+33;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-4.65927e+32;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;2.8119e+33;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31;-6.97009e+31
