frequency_hz,smoothed_measured_phase_deg,minimum_phase_target_deg,smoothed_spl_db
406.343121501,960.71514098,17.7708066351,101.932001329
417.41712256,941.642701958,16.7234411086,102.066912772
428.792921516,923.462190789,15.6920945023,102.178944563
440.478743216,906.158454147,14.6716504878,102.270561993
452.483036658,889.716338704,13.6832807911,102.344230355
464.8144811,874.120691134,12.7502095033,102.402414939
477.481992333,859.356358109,11.8621383876,102.447581038
490.494729128,845.408186303,11.0482298141,102.482193943
503.862099861,832.261022389,10.2900898102,102.508718946
517.59376931,819.899713039,9.61148625429,102.529621339
531.699665648,808.309104927,8.99106379151,102.547366412
546.189987617,797.474044726,8.44726232275,102.564419459
561.075211904,787.379379108,7.95757200442,102.58324577
576.366100717,778.009954747,7.52827241098,102.606310637
592.073709563,769.350618315,7.15063199732,102.636079352
608.209395243,761.386216487,6.8008640827,102.675017207
624.784824063,754.101300444,6.4596788931,102.725589493
641.811980269,747.472017765,6.12063645909,102.790261502
659.303174713,741.46510871,5.73002297764,102.871452939
677.271053751,736.046816502,5.23806715766,102.968288041
695.728608388,731.183384367,4.59227766001,103.074431841
714.689183671,726.841055527,3.78156666161,103.183036166
734.166488338,722.986073208,2.79226226088,103.287252847
754.174604728,719.584680634,1.61954900075,103.380233712
774.727998964,716.603121029,0.275738856316,103.45513059
795.841531413,714.007637618,-1.21942502921,103.505095312
817.530467426,711.764473624,-2.84800861667,103.523279706
839.810488381,709.839872272,-4.56164059669,103.502835601
862.697703017,708.200076787,-6.31640878751,103.436914827
886.208659081,706.811330392,-8.01656168077,103.319226508
910.360355295,705.639876312,-9.53702542911,103.153002868
935.170253643,704.651957771,-10.8000173163,102.949464268
960.656291996,703.813817994,-11.7608689605,102.720078399
986.836897085,703.091700205,-12.3969560957,102.476312951
1013.73099782,702.451847628,-12.6975423005,102.229635616
1041.35803898,701.860503487,-12.6584052347,101.991514083
1069.73799527,701.283911007,-12.2991243134,101.773416044
1098.89138576,700.688313413,-11.6561434221,101.586809188
1128.83928871,700.039953927,-10.7761032569,101.443161207
1159.60335686,699.305075775,-9.73634432004,101.353936788
1191.205833,698.449922181,-8.67413586296,101.325957748
1223.66956613,697.440736369,-7.71963472887,101.352029467
1257.01802794,696.243761564,-6.94349247018,101.422322729
1291.2753298,694.82524099,-6.39774162627,101.527008317
1326.46624018,693.151417871,-6.11210078039,101.656257014
1362.61620254,691.188535431,-6.10718459958,101.800239603
1399.75135377,688.902836895,-6.39978436302,101.949126868
1437.89854307,686.260565487,-6.97954986066,102.093089592
1477.08535132,683.229054336,-7.83527748288,102.222298557
1517.3401111,679.800518119,-8.93785295637,102.326924548
1558.69192711,675.991950032,-10.2325876662,102.397607066
1601.17069724,671.821412566,-11.6351552973,102.431425645
1644.80713418,667.306968211,-13.0919682432,102.430139545
1689.63278763,662.466679461,-14.5686919559,102.395613393
1735.68006711,657.318608805,-16.0307041816,102.329711821
1782.98226538,651.880818736,-17.4547843633,102.234299456
